company_names,cars_names,engines,horsepower,cars_prices,fuel_types,seats
AUDI,RS7 SPORTBACK,V8,591.0,114000.0,Petrol,5
AUDI,S8,V8,563.0,101000.0,Petrol,5
AUDI,RS6 AVANT,V8,591.0,109000.0,Petrol,5
AUDI,S7 SPORTBACK,V8,563.0,96000.0,Petrol,5
AUDI,A8,V6,335.0,86000.0,Petrol,5
AUDI,S5 COUPE,V6,349.0,64000.0,Petrol,4
AUDI,SQ5,V6,349.0,62000.0,Petrol,5
AUDI,S4 SEDAN,V6,349.0,59000.0,Petrol,5
AUDI,S3 SEDAN,I4,306.0,52000.0,Petrol,5
AUDI,Q7,V6,335.0,60000.0,Petrol,7
AUDI,Q5,I4,248.0,43000.0,Petrol,5
AUDI,A7,V6,335.0,68000.0,Petrol,5
AUDI,A6,V6,335.0,58000.0,Petrol,5
AUDI,A5 COUPE,I4,248.0,45000.0,Petrol,4
AUDI,A4,I4,248.0,39000.0,Petrol,5
AUDI,Q3,I4,248.0,35000.0,Petrol,5
AUDI,E-TRON,ELECTRIC,402.0,75000.0,Electric,5
AUDI,E-TRON SPORTBACK,ELECTRIC,402.0,78000.0,Electric,5
AUDI,TT COUPE,I4,248.0,49000.0,Petrol,2
BMW,I8 ROADSTER,ELECTRIC MOTOR,369.0,165000.0,Hybrid,2
BMW,330i,I4,255.0,45000.0,Petrol,5
BMW,M340i XDRIVE,I6,382.0,57000.0,Petrol,5
BMW,430i COUPE,I4,255.0,48000.0,Petrol,4
BMW,M4 COMPETITION,I6,503.0,81000.0,Petrol,4
BMW,530i,I4,248.0,57000.0,Petrol,5
BMW,M550i XDRIVE,V8,523.0,78000.0,Petrol,5
BMW,118i,I3,136.0,32000.0,Petrol,5
BMW,128ti,I4,261.0,42000.0,Petrol,5
BMW,M135i XDRIVE,I4,302.0,30000.0,Petrol,5
BMW,116D,I3,116.0,30000.0,Diesel,5
BMW,120D XDRIVE,I4,190.0,38000.0,Diesel,5
BMW,116i,I3,109.0,28000.0,Petrol,5
BMW,118D,I4,150.0,34000.0,Diesel,5
BMW,120i,I4,178.0,37000.0,Petrol,5
BMW,125i,I4,224.0,42000.0,Petrol,5
BMW,114D,I3,95.0,27000.0,Diesel,5
BMW,114i,I4,102.0,26000.0,Petrol,5
BMW,125D,I4,224.0,44000.0,Diesel,5
BMW,118i XDRIVE,I3,136.0,34000.0,Petrol,5
BMW,116D EFFICIENTDYNAMICS,I3,116.0,30000.0,Diesel,5
BMW,118i SPORTLINE,I3,136.0,35000.0,Petrol,5
BMW,118i M SPORT,I3,136.0,37000.0,Petrol,5
BMW,120i M SPORT,I4,178.0,39000.0,Petrol,5
BMW,116i EFFICIENTDYNAMICS,I4,109.0,29000.0,Petrol,5
BMW,116D ADVANTAGE,I3,116.0,31000.0,Diesel,5
BMW,120D EFFICIENTDYNAMICS,I4,163.0,39000.0,Diesel,5
BMW,118i SHADOW LINE,I3,136.0,36000.0,Petrol,5
BMW,118D SPORT LINE,I4,150.0,36000.0,Diesel,5
BMW,120i XDRIVE,I4,178.0,40000.0,Petrol,5
BMW,114D SPORT LINE,I3,95.0,28000.0,Diesel,5
BMW,118i URBAN LINE,I3,136.0,35000.0,Petrol,5
VOLVO,XC90,I6,247.0,60000.0,Petrol/Diesel,7
VOLVO,XC60,I6,247.0,55000.0,Petrol/Diesel,5
VOLVO,S90,I6,295.0,60000.0,Petrol/Diesel,5
KIA,SPORTAGE LX,I4,187.0,27000.0,Petrol,5
KIA,SPORTAGE EX,I4,187.0,30000.0,Petrol,5
KIA,SPORTAGE GT-LINE,I4,187.0,32000.0,Petrol,5
KIA,SPORTAGE SX TURBO,I4,240.0,36000.0,Petrol,5
KIA,SPORTAGE NIGHTFALL EDITION,I4,187.0,33000.0,Petrol,5
HONDA,CIVIC TYPE R,I4,315.0,44000.0,Petrol,5
KIA,SPORTAGE PHEV,I4 + ELECTRIC,261.0,41000.0,Plug-in Hybrid,5
KIA,SPORTAGE 2024(BASE MODEL),I4,187.0,26000.0,Petrol,5
KIA,SPORTAGE 2024(TOP TRIM),I4,240.0,38000.0,Petrol,5
KIA,SPORTAGE 2024(BASE AWD),I4,187.0,29000.0,Petrol/AWD,5
KIA,SPORTAGE X-LINE,I4,187.0,32500.0,Petrol,5
KIA,SPORTAGE 2024(S TRIM),I4,187.0,28000.0,Petrol,5
HONDA,ACCORD,I4,192.0,29400.0,Petrol,5
KIA,SPORTAGE 2024(HYBRID AWD),I4 + ELECTRIC,227.0,37000.0,Hybrid,5
KIA,SPORTAGE 2024(PLUG-IN HYBRID AWD),I4 + ELECTRIC,261.0,42000.0,Plug-in Hybrid,5
KIA,SPORTAGE 2024(X-PRO),I4,187.0,36000.0,Petrol,5
KIA,SPORTAGE 2024(X-PRO PRESTIGE),I4,187.0,38000.0,Petrol,5
KIA,SPORTAGE 2024(SX TURBO AWD),I4,240.0,40000.0,Petrol/AWD,5
KIA,SPORTAGE 2024(BASE FWD),I4,187.0,26500.0,Petrol,5
HONDA,CR-V,I4,190.0,30000.0,Petrol/Hybrid,5
HONDA,PILOT,V6,285.0,40000.0,Petrol,8
HONDA,CIVIC HATCHBACK,I4,180.0,26350.0,Petrol,5
TOYOTA,CAMRY,V6,301.0,27000.0,Petrol/Hybrid,5
